Principio attivo;Confezione di riferimento;ATC;AIC;Confezione;Farmaco;Ditta;Prezzo riferimento SSN;Prezzo Pubblico 29 ottobre 2015;Differenza;Nota;Codice gruppo equivalenza
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;39716182;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL";ACARBOSIO TECNIGEN;TECNIMEDE SOCIEDADE TECNICO-MEDICINAL S.A.;  5,63;  5,63;  0,00;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;38835144;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";ACARPHAGE;MERCK SERONO S.P.A.;  5,63;  5,63;  0,00;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;29532013;"""100 MG COMPRESSE"" 40 COMPRESSE";GLICOBASE;BAYER S.P.A.;  5,63;  8,04;  2,41;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;26851016;"""100 MG COMPRESSE"" 40 COMPRESSE";GLUCOBAY;BAYER S.P.A.;  5,63;  8,04;  2,41;;H1A
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;39716170;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL";ACARBOSIO TECNIGEN;TECNIMEDE SOCIEDADE TECNICO-MEDICINAL S.A.;  5,63;  5,63;  0,00;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;38835043;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";ACARPHAGE;MERCK SERONO S.P.A.;  5,63;  5,63;  0,00;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;26851028;"""50 MG COMPRESSE"" 40 COMPRESSE";GLUCOBAY;BAYER S.P.A.;  5,63;  8,04;  2,41;;H1B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;42403042;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE IN BLISTER AL-AL";ACECLOFENAC ACCORD;ACCORD HEALTHCARE LIMITED;  5,64;  5,64;  0,00;;B5B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;32773020;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE";AIRTAL;ALMIRALL S.P.A.;  5,64;  10,80;  5,16;;B5B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;31220015;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE";GLADIO;ABIOGEN PHARMA S.P.A.;  5,64;  11,13;  5,49;;B5B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;31842014;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE";KAFENAC;ALMIRALL S.P.A.;  5,64;  10,80;  5,16;;B5B
Aciclovir;100 ML 8% - USO ORALE;J05AB01;28614129;8% SOSPENSIONE ORALE 1 FLACONE 100 ML;ACICLIN;FIDIA FARMACEUTICI S.P.A.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;28467049;1 FLACONE SCIROPPO 100 ML 8%;ACICLOVIR;TEVA ITALIA S.R.L.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;32307035;"""8% SOSPENSIONE ORALE"" 1 FLACONE 100 ML";ACICLOVIR;EG S.P.A.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33551060;FLACONE 100 ML SOSPENSIONE ORALE 8%;ACICLOVIR;DOC GENERICI S.R.L.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33731035;"""8% SOSPENSIONE ORALE"" FLACONE 100 ML";ACICLOVIR;SANDOZ S.P.A.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33482023;"""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML";ACICLOVIR ABC;ABC FARMACEUTICI S.P.A.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33868023;"""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML";ACICLOVIR ALMUS;ALMUS S.R.L.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;36035032;"""400 MG/5 ML SOSPENSIONE ORALE"" FLACONE 100 ML";ACICLOVIR AUROBINDO;AUROBINDO PHARMA ITALIA S.R.L.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33429022;"""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML SOSPENSIONE ORALE";ACICLOVIR GERMED;GERMED PHARMA S.P.A.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;34738056;"""400 MG/5 ML SOSPENSIONE PER USO ORALE"" 1 FLACONE 100 ML";ACICLOVIR MYLAN GENERICS;MYLAN S.P.A.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;32927067;"""400 MG/5 ML SOSPENSIONE PER USO ORALE"" 1 FLACONE 100ML";ACICLOVIR RANBAXY;RANBAXY ITALIA S.P.A.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;25299088;1 FLACONE SOSPENSIONE 100 ML 8%;CYCLOVIRAN;SIGMA-TAU INDUSTRIE FARMACEUTICHE RIUNITE S.P.A.;  13,90;  15,34;  1,44;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;27534116;"""8 G/100ML SOSPENSIONE ORALE"" FLACONE DA 100ML";EFRIVIRAL;AESCULAPIUS FARMACEUTICI S.R.L.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;28338059;SOSPENSIONE 100 ML 8%;ESAVIR;CRINOS S.P.A.;  13,90;  13,90;  0,00;;26A
